PolicyNum,ClaimNum,Year,ClaimStatus,Claim,Deduct,EntityType,Description,CoverageGroup,CoverageCode,Fire5,CountyCode,county
120012,20081656,2008,Closed,5765,500,County,glassdamageatairport,BC,VE,3,DAN,Dane
120012,20081656,2008,Closed,645.9,500,County,waterdamageatDCRAterminal,BC,VS,3,DAN,Dane
120012,20081656,2008,Closed,2935.2,500,County,exitplazadamageatairport,BC,VE,3,DAN,Dane
120012,20081656,2008,Closed,8220.5,500,County,waterpipesfroze&brokeAirport,BC,VS,3,DAN,Dane
120012,20081656,2008,Closed,9315.42,500,County,lightningdamagedradios,BC,VF,3,DAN,Dane
120012,20081656,2008,Closed,600,500,County,lightningdamagedradios,BC,VF,3,DAN,Dane
120012,20081656,2008,Closed,3354,500,County,roofdamageatZoo,BC,VE,3,DAN,Dane
120012,20081656,2009,Closed,846,500,County,fencedmgdbyhitandrunvehicle,BC,VE,3,DAN,Dane
120012,20081656,2009,Closed,28670,500,County,garagedoordamagedbyvehicle,BC,VE,3,DAN,Dane
120012,20081656,2009,Closed,3150,500,County,signdamgedwhenstruckbybus,BC,VE,3,DAN,Dane
120012,20081656,2009,Closed,1,500,County,highwindsdamagedtreesatzoo,BC,VS,3,DAN,Dane
120012,20081656,2009,Closed,70848.64,500,County,stormdamageatzoo,BC,VE,3,DAN,Dane
120012,20081656,2009,Closed,3625,500,County,stormdamageatzoo,BC,VE,3,DAN,Dane
120012,20081656,2009,Closed,1250,500,County,PrimateBuildinglightningdamage,BC,VF,3,DAN,Dane
120012,20081656,2009,Closed,6369.39,500,County,waterdamageatJobCenter,BC,VS,3,DAN,Dane
120012,20081656,2009,Closed,2000,500,County,highwindsdamagedtreesatzoo,BC,VE,3,DAN,Dane
120012,20081656,2009,Closed,1002,500,County,glassvandalismatMLKBldg,BC,VE,3,DAN,Dane
120012,20081656,2009,Closed,11500.88,500,County,securitysystemdmgdbyelectricalsurge,BC,VE,3,DAN,Dane
120012,20081656,2009,Closed,5000,500,County,securitysystemdmgdbyelectricalsurge,BC,VE,3,DAN,Dane
120012,20081656,2009,Closed,3641.26,500,County,runwaylightsdamagedduringrainstorm,BC,VF,3,DAN,Dane
120012,20081656,2009,Closed,905,500,County,fencedamagedatairport,BC,VE,3,DAN,Dane
120012,20081656,2009,Closed,1550,500,County,arrowboarddamaged,BC,VE,3,DAN,Dane
120012,20081656,2009,Closed,746,500,County,airportfencedamagedbyvehicle,BC,VE,3,DAN,Dane
120012,20081656,2009,Closed,8745,500,County,highwayarrowboarddamaged,BC,VE,3,DAN,Dane
120012,20081656,2009,Closed,6552,500,County,controlpanelandtransducerdamagedbylightning,BC,VF,3,DAN,Dane
120012,20081656,2009,Closed,1000,500,County,treestruckanddamagedbylightning,BC,VF,3,DAN,Dane
120012,20081656,2010,Closed,1278,500,County,residentpushedoutandbrokewindow,BC,VE,3,DAN,Dane
120012,20081656,2010,Closed,600,500,County,residentpushedoutandbrokewindow,BC,VE,3,DAN,Dane
120012,20081656,2010,Closed,2077,500,County,waterdamagetocondoplatsandcabinet,BC,VE,3,DAN,Dane
120012,20081656,2010,Closed,1000,500,County,waterdamagetocondoplatsandcabinet,BC,VE,3,DAN,Dane
120012,20081656,2010,Closed,2678.5,500,County,cardaccesscontrollerhitbyelectricalcharge,BC,VF,3,DAN,Dane
120012,20081656,2010,Closed,600,500,County,cardaccesscontrollerhitbyelectricalcharge,BC,VF,3,DAN,Dane
120012,20081656,2010,Closed,10478.17,500,County,lightning/haildamagetoequipatairport,BC,VF,3,DAN,Dane
120012,20081656,2010,Closed,4000,500,County,lightning/haildamagetoequipatairport,BC,VF,3,DAN,Dane
120012,20081656,2010,Closed,1655,500,County,Lightningstruckairportanalogboards,BC,VF,3,DAN,Dane
120012,20081656,2010,Closed,24004.87,500,County,Lightningstruckairportanalogboards,BC,VF,3,DAN,Dane
120012,20081656,2010,Closed,4185.16,500,County,welldamagedbytruck,BC,VE,3,DAN,Dane
120012,20081656,2010,Closed,600,500,County,welldamagedbytruck,BC,VE,3,DAN,Dane
120012,20081656,2010,Closed,15170,500,County,controlpaneldamagedbywaterleak,BC,VS,3,DAN,Dane
120012,20081656,2010,Closed,4000,500,County,controlpaneldamagedbywaterleak,BC,VS,3,DAN,Dane
120012,20081656,2010,Closed,5300,500,County,Electricalwirestolenoffofpoles,BC,VE,3,DAN,Dane
120012,20081656,2010,Closed,1000,500,County,Electricalwirestolenoffofpoles,BC,VE,3,DAN,Dane
120012,20081656,2010,Closed,2948,500,County,AECBarn1masonrywalldamaged,BC,VS,3,DAN,Dane
120012,20081656,2010,Closed,1000,500,County,AECBarn1masonrywalldamaged,BC,VS,3,DAN,Dane
120012,20081656,2010,Closed,1360,500,County,vandalismtoBadgerShelter,BC,VE,3,DAN,Dane
120013,20081656,2006,Closed,9726.08,500,County,winddamage,BC,VE,5,DOD,Dodge
120013,20081656,2006,Closed,2127.88,500,County,winddamageathwyshop,BC,VE,5,DOD,Dodge
120013,20081656,2006,Closed,8315.25,500,County,stormdamageatairport,BC,VE,5,DOD,Dodge
120013,20081656,2007,Closed,1284.3,500,County,lightningdamageto911system,BC,VF,5,DOD,Dodge
120013,20081656,2007,Closed,1054,500,County,garagedoordamageatLedgePark,BC,VE,5,DOD,Dodge
120013,20081656,2007,Closed,835.36,500,County,firedamageatClearviewPark,BC,VF,5,DOD,Dodge
120013,20081656,2007,Closed,4931.1,500,County,frozencoilsathighwayshop,BC,VS,5,DOD,Dodge
120013,20081656,2007,Closed,2641.32,500,County,winddamageatClearview,BC,VE,5,DOD,Dodge
120013,20081656,2007,Closed,2355.91,500,County,lightningdamageatLedgePark,BC,VF,5,DOD,Dodge
120013,20081656,2008,Closed,3758.65,500,County,lightningdamageatClearview,BC,VF,5,DOD,Dodge
120013,20081656,2008,Closed,28181.13,500,County,lightningdamage,BC,VF,5,DOD,Dodge
120013,20081656,2008,Closed,3460.32,500,County,waterdamage(backup),BC,VS,5,DOD,Dodge
120013,20081656,2008,Closed,5866.08,500,County,itemsstolenfromvehicle,BC,VE,5,DOD,Dodge
120013,20081656,2007,Closed,2355.91,500,County,winddamageatClearview,BC,VE,5,DOD,Dodge
120013,20081656,2008,Closed,12110.3,500,County,firedamageatClearviewPark,BC,VF,5,DOD,Dodge
120013,20081656,2008,Closed,6821.7,500,County,frozencoilsathighwayshop,BC,VS,5,DOD,Dodge
120013,20081656,2008,Closed,15332.35,500,County,winddamageatClearview,BC,VE,5,DOD,Dodge
120013,20081656,2008,Closed,7001.83,500,County,winddamageatClearview,BC,VE,5,DOD,Dodge
120013,20081656,2010,Closed,3600,500,County,winddamagetobuilding,BC,VE,5,DOD,Dodge
120013,20081656,2010,Closed,25389.31,500,County,powersurgedamagedbldgcomponents,BC,VF,5,DOD,Dodge
120013,20081656,2010,Closed,6618.65,500,County,"powersurgedamagedgenerator,circuits",BC,VF,5,DOD,Dodge
120013,20081656,2010,Closed,2762.5,500,County,"lightningdamagetosign,taxiway,circuitboard",BC,VF,5,DOD,Dodge
120013,20081656,2010,Closed,25159.44,500,County,powersurgetoelectricalpanel/circuits,BC,VF,5,DOD,Dodge
120015,20081656,2006,Closed,1119.55,1000,County,cameradamaged,BC,VS,3,COL,Columbia
120015,20081656,2006,Closed,600,1000,County,cameradamaged,BC,VS,3,COL,Columbia
120015,20081656,2006,Closed,58734,1000,County,lightningdamageatSampsonRoad,BC,VF,3,COL,Columbia
120015,20081656,2006,Closed,26000,1000,County,lightningdamageatSampsonRoad,BC,VF,3,COL,Columbia
120015,20081656,2006,Closed,344,1000,County,screendamaged,BC,VS,3,COL,Columbia
120015,20081656,2006,Closed,100,1000,County,screendamaged,BC,VS,3,COL,Columbia
120015,20081656,2006,Closed,30000,1000,County,walldamageatHwy16,BC,VE,3,COL,Columbia
120015,20081656,2006,Closed,25000,1000,County,walldamageatHwy16,BC,VE,3,COL,Columbia
120015,20081656,2006,Closed,48285.76,1000,County,winddamageatfairgrounds,BC,VE,3,COL,Columbia
120015,20081656,2006,Closed,3950,1000,County,PBTdamaged,BC,VE,3,COL,Columbia
120015,20081656,2007,Closed,10846.52,1000,County,waterdamageatHealthCareCenter,BC,VS,3,COL,Columbia
120015,20081656,2007,Closed,1000,1000,County,waterdamageatHealthCareCenter,BC,VS,3,COL,Columbia
120015,20081656,2007,Closed,1277.71,1000,County,lightningdamageathealthcenter,BC,VF,3,COL,Columbia
120015,20081656,2007,Closed,1000,1000,County,lightningdamageathealthcenter,BC,VF,3,COL,Columbia
120015,20081656,2007,Closed,8138,1000,County,building&doordamaged,BC,VE,3,COL,Columbia
120015,20081656,2007,Closed,500,1000,County,building&doordamaged,BC,VE,3,COL,Columbia
120015,20081656,2007,Closed,1007.75,1000,County,radiodamaged,BC,VS,3,COL,Columbia
120015,20081656,2007,Closed,700,1000,County,radiodamaged,BC,VS,3,COL,Columbia
120015,20081656,2007,Closed,2350,1000,County,garagedoordamagedatHwyDept,BC,VE,3,COL,Columbia
120015,20081656,2008,Closed,13905,1000,County,surveillancesystemmissing,BC,VS,3,COL,Columbia
120015,20081656,2008,Closed,1125,1000,County,gutterscollapsedatHealth&HumanSvcs,BC,VE,3,COL,Columbia
120015,20081656,2008,Closed,20472.23,1000,County,stormdamageatHealthCareCenter,BC,VE,3,COL,Columbia
120015,20081656,2008,Closed,5000,1000,County,stormdamageatHealthCareCenter,BC,VE,3,COL,Columbia
120015,20081656,2008,Closed,3130,1000,County,winddamagetogarage,BC,VE,3,COL,Columbia
120015,20081656,2008,Closed,4500,1000,County,winddamageatHealthCenter,BC,VE,3,COL,Columbia
120015,20081656,2008,Closed,1360.48,1000,County,fuelsystemdamaged,BC,VE,3,COL,Columbia
120015,20081656,2008,Closed,1534.35,1000,County,policeradiodamaged,BC,VS,3,COL,Columbia
120015,20081656,2008,Closed,1839.91,1000,County,truckhitgaragedoor,BC,VE,3,COL,Columbia
120015,20081656,2009,Closed,1572.4,1000,County,lightningdamagetoscale,BC,VF,3,COL,Columbia
120015,20081656,2009,Closed,5388.42,1000,County,lightningdamagetoscale,BC,VF,3,COL,Columbia
120015,20081656,2009,Closed,20344.7,1000,County,lightningdamageatjail,BC,VF,3,COL,Columbia
120015,20081656,2009,Closed,5000,1000,County,lightningdamageatjail,BC,VF,3,COL,Columbia
120015,20081656,2009,Closed,3105.88,1000,County,waterdamageHCC,BC,VS,3,COL,Columbia
120015,20081656,2009,Closed,1000,1000,County,waterdamageHCC,BC,VS,3,COL,Columbia
120015,20081656,2009,Closed,5388.42,1000,County,lightningdamageatAdminBldg,BC,VF,3,COL,Columbia
120015,20081656,2010,Closed,1000,1000,County,lightningdamagetoansweringservice,BC,VF,3,COL,Columbia
120015,20081656,2010,Closed,7985,1000,County,wastehaulingtruckhitinsuredvehicle,BC,VE,3,COL,Columbia
120015,20081656,2010,Closed,7364.95,1000,County,vehiclehitoutsidewalltobreakroom,BC,VS,3,COL,Columbia
120015,20081656,2010,Closed,1200,1000,County,brokefiberglasstopontreebranch,BC,VF,3,COL,Columbia
120015,20081656,2010,Closed,2935,1000,County,ice/snowfellfromroofontocanopy,BC,VE,3,COL,Columbia
120015,20081656,2010,Closed,1000,1000,County,truckpokedsmallholeinbuilding,BC,VE,3,COL,Columbia
120015,20081656,2010,Closed,2000,1000,County,highwindsbentfencegate,BC,VS,3,COL,Columbia
120015,20081656,2010,Closed,1000,1000,County,windtwistedofTVantennamountatcomm.tower,BC,VS,3,COL,Columbia
120015,20081656,2010,Closed,6381.65,1000,County,lightningdamagetotower&equipment,BC,VF,3,COL,Columbia
120015,20081656,2010,Closed,6250.85,1000,County,lightningdamageatjail,BC,VF,3,COL,Columbia
120015,20081656,2010,Closed,1000,1000,County,lightningdamageatjail,BC,VF,3,COL,Columbia
120017,20081656,2006,Closed,104.9,5000,County,lightningdamage,BC,VF,4,DUN,Dunn
120017,20081656,2006,Closed,40,5000,County,lightningdamage,BC,VF,4,DUN,Dunn
120017,20081656,2006,Closed,536,5000,County,Jailvandalism,BC,VE,4,DUN,Dunn
120017,20081656,2006,Closed,100,5000,County,Jailvandalism,BC,VE,4,DUN,Dunn
120017,20081656,2006,Closed,190,5000,County,cellphonedamaged,BC,VS,4,DUN,Dunn
120017,20081656,2007,Closed,245.85,5000,County,theftofwireatfairgrounds,BC,VE,4,DUN,Dunn
120017,20081656,2007,Closed,3717.22,5000,County,powersurgedamageatJudicialCenter,BC,VS,4,DUN,Dunn
120017,20081656,2007,Closed,7783.64,5000,County,garagedoordamaged,BC,VE,4,DUN,Dunn
120017,20081656,2007,Closed,915.79,5000,County,vandalismdamageatjail,BC,VE,4,DUN,Dunn
120017,20081656,2007,Closed,132.56,5000,County,brokenwindow,BC,VE,4,DUN,Dunn
120017,20081656,2007,Closed,1728,5000,County,tarpdamagedathwyshop,BC,VE,4,DUN,Dunn
120017,20081656,2007,Closed,2367.51,5000,County,windowbroken,BC,VE,4,DUN,Dunn
120017,20081656,2007,Closed,35451.69,5000,County,stormdamage,BC,VE,4,DUN,Dunn
120017,20081656,2008,Closed,1975,5000,County,haildamagePineviewPark,BC,VE,4,DUN,Dunn
120017,20081656,2008,Closed,1000,5000,County,haildamagePineviewPark,BC,VE,4,DUN,Dunn
120017,20081656,2008,Closed,142.23,5000,County,vandalismdamage,BC,VE,4,DUN,Dunn
120017,20081656,2008,Closed,50,5000,County,vandalismdamage,BC,VE,4,DUN,Dunn
120017,20081656,2008,Closed,205.99,5000,County,parkequipmentstolen,BC,VE,4,DUN,Dunn
120017,20081656,2008,Closed,60,5000,County,parkequipmentstolen,BC,VE,4,DUN,Dunn
120017,20081656,2008,Closed,1085,5000,County,windowdamagedatjail,BC,VE,4,DUN,Dunn
120017,20081656,2008,Closed,500,5000,County,windowdamagedatjail,BC,VE,4,DUN,Dunn
120017,20081656,2009,Closed,600,5000,County,glassvandalismatrecpark,BC,VE,4,DUN,Dunn
120017,20081656,2009,Closed,286.95,5000,County,equipmentdamagedbyvehicle,BC,VE,4,DUN,Dunn
120017,20081656,2010,Closed,858,5000,County,vehiclehitoutletboxandpole,BC,VE,4,DUN,Dunn
120017,20081656,2010,Closed,1000,5000,County,manyrocksthrownthroughwindows-doorkickedin,BC,VE,4,DUN,Dunn
120017,20081656,2010,Closed,1774,5000,County,rocksandbricksthrownthrewwindows,BC,VE,4,DUN,Dunn
120017,20081656,2010,Closed,1000,5000,County,rocksthrownthrewseveralwindows,BC,VE,4,DUN,Dunn
120017,20081656,2010,Closed,1941.75,5000,County,"wheelloaderdamagedoverheaddoor,frame",BC,VS,4,DUN,Dunn
120017,20081656,2010,Closed,357.95,5000,County,"cameraleftoncar,felltogroundandbroke",BC,VS,4,DUN,Dunn
120017,20081656,2009,Closed,100,5000,County,vandalismdamage,BC,VE,4,DUN,Dunn
120017,20081656,2009,Closed,236.95,5000,County,parkequipmentstolen,BC,VE,4,DUN,Dunn
120017,20081656,2009,Closed,120,5000,County,parkequipmentstolen,BC,VE,4,DUN,Dunn
120017,20081656,2009,Closed,250,5000,County,windowdamagedatjail,BC,VE,4,DUN,Dunn
120017,20081656,2009,Closed,180,5000,County,windowdamagedatjail,BC,VE,4,DUN,Dunn
120017,20081656,2010,Closed,2200,5000,County,vandalismdamage,BC,VE,4,DUN,Dunn
120018,20081656,2007,Closed,44628.76,5000,County,lightningdamageatairport,BC,VF,0,EAU,Eau Claire
120018,20081656,2008,Closed,146083.94,5000,County,firedamagetohouse,BC,VF,0,EAU,Eau Claire
120018,20081656,2009,Closed,11826.12,5000,County,lightningdamageatFallCreektower,BC,VF,0,EAU,Eau Claire
120018,20081656,2009,Closed,106141.84,5000,County,fire&smokedamageatcourthouse,BC,VF,0,EAU,Eau Claire
120018,20081656,2010,Closed,9648.62,5000,County,brokendrainpipedmgdcopymachine,BC,VS,0,EAU,Eau Claire
120021,20081656,2009,Closed,5451.19,2500,County,lightningdamageatsafetybuilding,BC,VF,5,GRL,Green Lake
120021,20081656,2010,Closed,2500,2500,County,"brokenglass,intercomandtelevision",BC,VE,5,GRL,Green Lake
120021,20081656,2010,Closed,8489.35,2500,County,"lightningstruckanddestroyedtank,dmgdclock",BC,VF,5,GRL,Green Lake
120022,20081656,2006,Closed,7507.81,500,County,waterdamageatcourthouse,BC,VS,6,FOR,Forest
120022,20081656,2006,Closed,28756.67,500,County,waterdamage-Courthouse,BC,VS,6,FOR,Forest
120022,20081656,2006,Closed,2515,500,County,lightningdamageathwydept.,BC,VF,6,FOR,Forest
120022,20081656,2006,Closed,1971.18,500,County,theftoflaptop,BC,VS,6,FOR,Forest
120022,20081656,2006,Closed,596.82,500,County,lightningdamageatcourthouse,BC,VF,6,FOR,Forest
120022,20081656,2006,Closed,10934.73,500,County,lightningdamageatCrandonPit,BC,VF,6,FOR,Forest
120022,20081656,2007,Closed,4500,500,County,winddamageatSocialServices,BC,VE,6,FOR,Forest
120022,20081656,2009,Closed,2440.21,500,County,waterdamageatcourthouse,BC,VS,6,FOR,Forest
120023,20081656,2007,Closed,42213.37,1000,County,lightningdamage,BC,VF,3,GRE,Green
120023,20081656,2007,Closed,13378.32,1000,County,lightningdamagetoradiotower,BC,VF,3,GRE,Green
120023,20081656,2008,Closed,31633.55,1000,County,lightningdamage,BC,VF,3,GRE,Green
120023,20081656,2008,Closed,25446.84,1000,County,lightningdamage,BC,VF,3,GRE,Green
120023,20081656,2010,Closed,8045.88,1000,County,lightningdamagetocontrolequip&firealarm,BC,VF,3,GRE,Green
120023,20081656,2010,Closed,8378.61,1000,County,lightningdmgtoseveralitemsatCourthouse,BC,VF,3,GRE,Green
120024,20081656,2009,Closed,3447.29,10000,County,powersurgeatLEC,BC,VS,5,JAC,Jackson
120024,20081656,2009,Closed,1000,10000,County,powersurgeatLEC,BC,VS,5,JAC,Jackson
120024,20081656,2009,Closed,785,10000,County,garagedoordamaged,BC,VE,5,JAC,Jackson
120024,20081656,2009,Closed,200,10000,County,garagedoordamaged,BC,VE,5,JAC,Jackson
120025,20081656,2006,Closed,1044,500,County,laptopdamagedatWIC,BC,VE,4,GRA,Grant
120025,20081656,2006,Closed,10283.12,500,County,lightningdamageatOrchardManor,BC,VF,4,GRA,Grant
120025,20081656,2006,Closed,3000,500,County,lightningdamageatOrchardManor,BC,VF,4,GRA,Grant
120025,20081656,2008,Closed,424.85,500,County,fire&smokedamageatAdminOffice,BC,VF,4,GRA,Grant
120025,20081656,2008,Closed,200,500,County,fire&smokedamageatAdminOffice,BC,VF,4,GRA,Grant
120025,20081656,2009,Closed,376255.81,500,County,haildamageatmultiplesites,BC,VE,4,GRA,Grant
120025,20081656,2010,Closed,800,500,County,cardrovethroughstandingwater,BC,VF,4,GRA,Grant
120025,20081656,2010,Closed,638.67,500,County,lightningdamagetophoneservice,BC,VF,4,GRA,Grant
120025,20081656,2010,Closed,9952.86,500,County,"alarmfailed,spoilageofvaccinesupply",BC,VS,4,GRA,Grant
120026,20081656,2006,Closed,758.44,500,County,lightningdamageatOgdenStreet,BC,VF,5,JEF,Jefferson
120026,20081656,2006,Closed,612.82,500,County,theftfromCoroner'svan,BC,VS,5,JEF,Jefferson
120026,20081656,2006,Closed,6344,500,County,lightpoledamaged,BC,VE,5,JEF,Jefferson
